label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
PAGE_ID,488,821,412,81,passing_sample.jpg,3840,2160
TOTAL_PASSES_HOME,1326,550,126,81,passing_sample.jpg,3840,2160
COMPLETED_HOME,1332,633,118,72,passing_sample.jpg,3840,2160
INTERCEPTED_HOME,1330,705,122,79,passing_sample.jpg,3840,2160
OFFSIDE_HOME,1332,784,118,74,passing_sample.jpg,3840,2160
OTHER_HOME,1324,857,116,79,passing_sample.jpg,3840,2160
GROUND_HOME,1328,1008,118,74,passing_sample.jpg,3840,2160
LOB_HOME,1328,1092,118,68,passing_sample.jpg,3840,2160
THROUGH_HOME,1328,1167,116,70,passing_sample.jpg,3840,2160
LOBBED_THROUGH_HOME,1328,1243,116,68,passing_sample.jpg,3840,2160
CROSS_HOME,1328,1318,108,70,passing_sample.jpg,3840,2160
SET_PIECES_HOME,1322,1392,114,97,passing_sample.jpg,3840,2160
KEY_PASS_HOME,1324,1529,114,89,passing_sample.jpg,3840,2160
FIRST_TIME_HOME,1328,1622,112,74,passing_sample.jpg,3840,2160
PASS_AND_GO_HOME,1326,1690,120,81,passing_sample.jpg,3840,2160
DOWN_WING_HOME,1328,1775,116,74,passing_sample.jpg,3840,2160
BREAKAWAY_HOME,1324,1846,118,85,passing_sample.jpg,3840,2160
TOTAL_PASSES_AWAY,2415,557,95,74,passing_sample.jpg,3840,2160
COMPLETED_AWAY,2412,637,103,75,passing_sample.jpg,3840,2160
INTERCEPTED_AWAY,2410,716,101,62,passing_sample.jpg,3840,2160
OFFSIDE_AWAY,2410,778,101,79,passing_sample.jpg,3840,2160
OTHER_AWAY,2408,863,103,81,passing_sample.jpg,3840,2160
GROUND_AWAY,2425,1014,89,74,passing_sample.jpg,3840,2160
LOB_AWAY,2421,1092,89,64,passing_sample.jpg,3840,2160
THROUGH_AWAY,2421,1159,89,77,passing_sample.jpg,3840,2160
LOBBED_THROUGH_AWAY,2417,1243,95,68,passing_sample.jpg,3840,2160
CROSS_AWAY,2417,1308,97,79,passing_sample.jpg,3840,2160
SET_PIECES_AWAY,2412,1394,103,87,passing_sample.jpg,3840,2160
KEY_PASS_AWAY,2421,1554,91,62,passing_sample.jpg,3840,2160
FIRST_TIME_AWAY,2421,1616,93,79,passing_sample.jpg,3840,2160
PASS_AND_GO_AWAY,2423,1697,91,75,passing_sample.jpg,3840,2160
DOWN_WING_AWAY,2425,1775,89,70,passing_sample.jpg,3840,2160
BREAKAWAY_AWAY,2425,1852,85,77,passing_sample.jpg,3840,2160
