label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
DRIBBLE_SUCCESS_RATE_HOME,576,588,244,126,summary_sample.jpg,3840,2160
SHOT_ACCURACY_HOME,570,1123,257,110,summary_sample.jpg,3840,2160
PASS_ACCURACY_HOME,567,1651,258,95,summary_sample.jpg,3840,2160
DRIBBLE_SUCCESS_RATE_AWAY,3015,604,250,108,summary_sample.jpg,3840,2160
SHOT_ACCURACY_AWAY,3017,1132,250,101,summary_sample.jpg,3840,2160
PASS_ACCURACY_AWAY,3011,1649,253,106,summary_sample.jpg,3840,2160
POSSESSION_HOME,1324,507,83,66,summary_sample.jpg,3840,2160
BALL_RECOVERY_TIME_HOME,1323,606,59,60,summary_sample.jpg,3840,2160
SHOTS_HOME,1322,706,64,64,summary_sample.jpg,3840,2160
EXPECTED_GOALS_HOME,1324,788,97,81,summary_sample.jpg,3840,2160
PASSES_HOME,1327,900,92,68,summary_sample.jpg,3840,2160
TACKLES_HOME,1324,999,89,67,summary_sample.jpg,3840,2160
TACKLES_WON_HOME,1324,1092,77,73,summary_sample.jpg,3840,2160
INTERCEPTIONS_HOME,1327,1196,84,70,summary_sample.jpg,3840,2160
SAVES_HOME,1328,1291,81,64,summary_sample.jpg,3840,2160
FOULS_COMMITTED_HOME,1330,1388,85,71,summary_sample.jpg,3840,2160
OFFSIDES_HOME,1330,1483,83,79,summary_sample.jpg,3840,2160
CORNERS_HOME,1326,1585,89,76,summary_sample.jpg,3840,2160
FREE_KICKS_HOME,1324,1680,87,77,summary_sample.jpg,3840,2160
PENALTY_KICKS_HOME,1324,1781,97,71,summary_sample.jpg,3840,2160
YELLOW_CARDS_HOME,1323,1875,100,78,summary_sample.jpg,3840,2160
POSSESSION_AWAY,2429,495,89,86,summary_sample.jpg,3840,2160
BALL_RECOVERY_TIME_AWAY,2427,598,89,89,summary_sample.jpg,3840,2160
SHOTS_AWAY,2435,703,78,63,summary_sample.jpg,3840,2160
EXPECTED_GOALS_AWAY,2419,786,97,95,summary_sample.jpg,3840,2160
PASSES_AWAY,2419,886,96,93,summary_sample.jpg,3840,2160
TACKLES_AWAY,2431,981,85,93,summary_sample.jpg,3840,2160
TACKLES_WON_AWAY,2429,1078,83,95,summary_sample.jpg,3840,2160
INTERCEPTIONS_AWAY,2425,1177,91,91,summary_sample.jpg,3840,2160
SAVES_AWAY,2429,1277,86,84,summary_sample.jpg,3840,2160
FOULS_COMMITTED_AWAY,2445,1374,73,83,summary_sample.jpg,3840,2160
OFFSIDES_AWAY,2441,1471,77,95,summary_sample.jpg,3840,2160
CORNERS_AWAY,2431,1568,81,95,summary_sample.jpg,3840,2160
FREE_KICKS_AWAY,2441,1665,73,94,summary_sample.jpg,3840,2160
PENALTY_KICKS_AWAY,2431,1767,84,97,summary_sample.jpg,3840,2160
YELLOW_CARDS_AWAY,2435,1872,81,102,summary_sample.jpg,3840,2160
TOTAL_MATCH_TIME,1790,209,242,97,summary_sample.jpg,3840,2160
SCORE_HOME,1705,60,165,174,summary_sample.jpg,3840,2160
SCORE_AWAY,1943,62,172,170,summary_sample.jpg,3840,2160
TEAM_HOME,979,77,616,169,summary_sample.jpg,3840,2160
TEAM_AWAY,2276,74,534,160,summary_sample.jpg,3840,2160
PAGE_ID,401,821,612,77,summary_sample.jpg,3840,2160
